date,gdp, 
12/31/1960,1333.8816,
12/31/1961,1430.4346,
12/31/1962,1585.7353,
12/31/1963,1758.8567,
12/31/1964,1928.9994,
12/31/1965,2060.2997,
12/31/1966,2209.0002,
12/31/1967,2363.6697,
12/31/1968,2553.9758,
12/31/1969,2767.6154,
12/31/1970,2870.1575,
12/31/1971,3180.3374,
12/31/1972,3865.9254,
12/31/1973,4984.1967,
12/31/1974,5345.896,
12/31/1975,6717.4395,
12/31/1976,6899.0696,
12/31/1977,7566.6626,
12/31/1978,9299.7474,
12/31/1979,11213.0236,
12/31/1980,12738.5201,
12/31/1981,11116.8611,
12/31/1982,10501.6091,
12/31/1983,9998.9752,
12/31/1984,9430.0696,
12/31/1985,9778.0853,
12/31/1986,13566.6608,
12/31/1987,16340.726,
12/31/1988,17727.5108,
12/31/1989,17747.5816,
12/31/1990,21865.5553,
12/31/1991,21675.7061,
12/31/1992,23814.2274,
12/31/1993,22380.3319,
12/31/1994,23496.3677,
12/31/1995,26889.4251,
12/31/1996,26870.2852,
12/31/1997,24226.8847,
12/31/1998,24971.5745,
12/31/1999,24678.3911,
12/31/2000,22416.4254,
12/31/2001,22449.3397,
12/31/2002,24288.27,
12/31/2003,29627.9243,
12/31/2004,33797.1624,
12/31/2005,34768.1759,
12/31/2006,36470.2128,
12/31/2007,41557.6236,
12/31/2008,45515.9618,
12/31/2009,41737.7636,
12/31/2010,40676.0648,
12/31/2011,43846.4661,
12/31/2012,40870.8524,
12/31/2013,42602.718,
12/31/2014,43068.5487,
12/31/2015,36652.9223,
12/31/2016,37062.5336,
12/31/2017,38781.0495,
12/31/2018,41557.8549,
12/31/2019,40494.8983,
12/31/2020,39055.2829,
12/31/2021,43658.979,
